danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.4,0.247,5,-18.249,0,0.0423,0.818,0.64,0.119,0.394,162.078,audio_features,0ROMalDdNg3L2HoZP4qFyJ,spotify:track:0ROMalDdNg3L2HoZP4qFyJ,https://api.spotify.com/v1/tracks/0ROMalDdNg3L2HoZP4qFyJ,https://api.spotify.com/v1/audio-analysis/0ROMalDdNg3L2HoZP4qFyJ,201853,4
0.277,0.398,7,-16.178,0,0.0389,0.879,0.923,0.175,0.389,142.102,audio_features,2K0tEusE2zsBnDxfFbQuWj,spotify:track:2K0tEusE2zsBnDxfFbQuWj,https://api.spotify.com/v1/tracks/2K0tEusE2zsBnDxfFbQuWj,https://api.spotify.com/v1/audio-analysis/2K0tEusE2zsBnDxfFbQuWj,176000,3
0.136,0.0592,0,-24.904,1,0.0465,0.893,0.237,0.558,0.119,72.862,audio_features,3YUmaXADZY1wdTrGCF4Fdw,spotify:track:3YUmaXADZY1wdTrGCF4Fdw,https://api.spotify.com/v1/tracks/3YUmaXADZY1wdTrGCF4Fdw,https://api.spotify.com/v1/audio-analysis/3YUmaXADZY1wdTrGCF4Fdw,344600,4
0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,audio_features,2xizRhme7pYeITbH1NLLGt,spotify:track:2xizRhme7pYeITbH1NLLGt,https://api.spotify.com/v1/tracks/2xizRhme7pYeITbH1NLLGt,https://api.spotify.com/v1/audio-analysis/2xizRhme7pYeITbH1NLLGt,166867,4
0.272,0.346,0,-14.01,0,0.0317,0.926,0.931,0.0772,0.24,79.773,audio_features,3By9jCy6b4dv5XnlhvIWwx,spotify:track:3By9jCy6b4dv5XnlhvIWwx,https://api.spotify.com/v1/tracks/3By9jCy6b4dv5XnlhvIWwx,https://api.spotify.com/v1/audio-analysis/3By9jCy6b4dv5XnlhvIWwx,134747,4
0.358,0.167,7,-16.0,0,0.0354,0.899,0.96,0.103,0.6,144.601,audio_features,2oLjhx7w8Hyd3gry9cCXr7,spotify:track:2oLjhx7w8Hyd3gry9cCXr7,https://api.spotify.com/v1/tracks/2oLjhx7w8Hyd3gry9cCXr7,https://api.spotify.com/v1/audio-analysis/2oLjhx7w8Hyd3gry9cCXr7,138707,4
0.433,0.291,2,-17.56,1,0.0501,0.903,0.907,0.367,0.631,106.65,audio_features,7HB1REjjalFLSXgXlAAwFs,spotify:track:7HB1REjjalFLSXgXlAAwFs,https://api.spotify.com/v1/tracks/7HB1REjjalFLSXgXlAAwFs,https://api.spotify.com/v1/audio-analysis/7HB1REjjalFLSXgXlAAwFs,79840,1
0.497,0.311,11,-14.171,0,0.069,0.798,0.0012,0.0641,0.629,107.428,audio_features,2HrDeUcfs5MGPKRo8gD1BI,spotify:track:2HrDeUcfs5MGPKRo8gD1BI,https://api.spotify.com/v1/tracks/2HrDeUcfs5MGPKRo8gD1BI,https://api.spotify.com/v1/audio-analysis/2HrDeUcfs5MGPKRo8gD1BI,234893,4
0.442,0.181,7,-20.419,0,0.0443,0.906,0.656,0.0598,0.172,115.884,audio_features,1IM8x4lxZVOOP9gpQD6c5s,spotify:track:1IM8x4lxZVOOP9gpQD6c5s,https://api.spotify.com/v1/tracks/1IM8x4lxZVOOP9gpQD6c5s,https://api.spotify.com/v1/audio-analysis/1IM8x4lxZVOOP9gpQD6c5s,432133,4
0.171,0.193,6,-14.649,1,0.0555,0.932,0.848,0.0956,0.0386,73.417,audio_features,4EboQ4MODsqFWP00zSnJpf,spotify:track:4EboQ4MODsqFWP00zSnJpf,https://api.spotify.com/v1/tracks/4EboQ4MODsqFWP00zSnJpf,https://api.spotify.com/v1/audio-analysis/4EboQ4MODsqFWP00zSnJpf,368907,3
0.324,0.209,10,-19.164,0,0.0446,0.868,0.918,0.118,0.0766,109.73,audio_features,6NCBtYePOsHDak9euerXsK,spotify:track:6NCBtYePOsHDak9euerXsK,https://api.spotify.com/v1/tracks/6NCBtYePOsHDak9euerXsK,https://api.spotify.com/v1/audio-analysis/6NCBtYePOsHDak9euerXsK,555480,4
0.251,0.285,0,-15.201,0,0.0327,0.927,0.839,0.0983,0.184,91.015,audio_features,22NQmi4oHSelAotPM3D4FO,spotify:track:22NQmi4oHSelAotPM3D4FO,https://api.spotify.com/v1/tracks/22NQmi4oHSelAotPM3D4FO,https://api.spotify.com/v1/audio-analysis/22NQmi4oHSelAotPM3D4FO,120280,4
0.213,0.144,2,-22.433,0,0.0371,0.753,0.953,0.15,0.345,106.192,audio_features,3h4elxYZdkZGsNEph9syV8,spotify:track:3h4elxYZdkZGsNEph9syV8,https://api.spotify.com/v1/tracks/3h4elxYZdkZGsNEph9syV8,https://api.spotify.com/v1/audio-analysis/3h4elxYZdkZGsNEph9syV8,215280,3
0.143,0.232,1,-14.73,1,0.0509,0.963,0.0814,0.11,0.105,35.555,audio_features,2hNhsPZVVOr0SOqShooaEJ,spotify:track:2hNhsPZVVOr0SOqShooaEJ,https://api.spotify.com/v1/tracks/2hNhsPZVVOr0SOqShooaEJ,https://api.spotify.com/v1/audio-analysis/2hNhsPZVVOr0SOqShooaEJ,283747,4
0.227,0.0666,7,-21.772,0,0.0403,0.831,0.392,0.083,0.256,82.568,audio_features,6yhioaNcLd5qwei5S0HQsu,spotify:track:6yhioaNcLd5qwei5S0HQsu,https://api.spotify.com/v1/tracks/6yhioaNcLd5qwei5S0HQsu,https://api.spotify.com/v1/audio-analysis/6yhioaNcLd5qwei5S0HQsu,173853,4
0.346,0.0578,3,-22.644,1,0.0352,0.932,0.928,0.211,0.422,97.259,audio_features,4oviAMVnj3noW22hfvgFQS,spotify:track:4oviAMVnj3noW22hfvgFQS,https://api.spotify.com/v1/tracks/4oviAMVnj3noW22hfvgFQS,https://api.spotify.com/v1/audio-analysis/4oviAMVnj3noW22hfvgFQS,75107,3
0.198,0.0313,3,-26.69,1,0.0419,0.901,0.866,0.0924,0.189,88.813,audio_features,03xxnNXmK7lJjW9hV2ldn8,spotify:track:03xxnNXmK7lJjW9hV2ldn8,https://api.spotify.com/v1/tracks/03xxnNXmK7lJjW9hV2ldn8,https://api.spotify.com/v1/audio-analysis/03xxnNXmK7lJjW9hV2ldn8,141200,4
0.491,0.0715,11,-21.261,0,0.0501,0.933,0.655,0.189,0.518,136.124,audio_features,45eG3JWQSWarZV7SQ8HGqz,spotify:track:45eG3JWQSWarZV7SQ8HGqz,https://api.spotify.com/v1/tracks/45eG3JWQSWarZV7SQ8HGqz,https://api.spotify.com/v1/audio-analysis/45eG3JWQSWarZV7SQ8HGqz,47200,4
0.173,0.0446,9,-29.184,0,0.0408,0.981,0.953,0.0764,0.0471,69.777,audio_features,4aVQZ6pyDgfxMBVBiJlOtC,spotify:track:4aVQZ6pyDgfxMBVBiJlOtC,https://api.spotify.com/v1/tracks/4aVQZ6pyDgfxMBVBiJlOtC,https://api.spotify.com/v1/audio-analysis/4aVQZ6pyDgfxMBVBiJlOtC,111093,3
0.539,0.375,7,-14.299,0,0.0554,0.96,0.00285,0.469,0.86,93.528,audio_features,4iYIRlCTOUE26lYwtvXEDY,spotify:track:4iYIRlCTOUE26lYwtvXEDY,https://api.spotify.com/v1/tracks/4iYIRlCTOUE26lYwtvXEDY,https://api.spotify.com/v1/audio-analysis/4iYIRlCTOUE26lYwtvXEDY,232293,4
0.235,0.0639,11,-24.404,0,0.049,0.962,0.603,0.466,0.0781,120.736,audio_features,04eShjKTWijeJJqGnhxpYK,spotify:track:04eShjKTWijeJJqGnhxpYK,https://api.spotify.com/v1/tracks/04eShjKTWijeJJqGnhxpYK,https://api.spotify.com/v1/audio-analysis/04eShjKTWijeJJqGnhxpYK,200360,3
0.241,0.106,4,-19.619,0,0.0351,0.886,0.897,0.71,0.122,132.514,audio_features,4GdHkkbUtc63Jr3JI5Pm19,spotify:track:4GdHkkbUtc63Jr3JI5Pm19,https://api.spotify.com/v1/tracks/4GdHkkbUtc63Jr3JI5Pm19,https://api.spotify.com/v1/audio-analysis/4GdHkkbUtc63Jr3JI5Pm19,735257,4
0.0847,0.0856,2,-24.716,0,0.0405,0.964,0.592,0.289,0.0764,84.245,audio_features,1UvaZaHkh3D9AkmBrrnbFg,spotify:track:1UvaZaHkh3D9AkmBrrnbFg,https://api.spotify.com/v1/tracks/1UvaZaHkh3D9AkmBrrnbFg,https://api.spotify.com/v1/audio-analysis/1UvaZaHkh3D9AkmBrrnbFg,205493,4
0.298,0.341,0,-15.684,1,0.0396,0.987,0.869,0.0994,0.0717,120.205,audio_features,1lGZmABQXTYGYY5MZb9SJY,spotify:track:1lGZmABQXTYGYY5MZb9SJY,https://api.spotify.com/v1/tracks/1lGZmABQXTYGYY5MZb9SJY,https://api.spotify.com/v1/audio-analysis/1lGZmABQXTYGYY5MZb9SJY,213200,4
0.356,0.249,1,-16.551,0,0.0473,0.566,0.000229,0.105,0.281,148.47,audio_features,31phRRDd6MwLhE88ZXt8hn,spotify:track:31phRRDd6MwLhE88ZXt8hn,https://api.spotify.com/v1/tracks/31phRRDd6MwLhE88ZXt8hn,https://api.spotify.com/v1/audio-analysis/31phRRDd6MwLhE88ZXt8hn,588973,3
0.309,0.137,0,-19.267,0,0.0313,0.95,0.728,0.17,0.274,100.391,audio_features,0lAzlYb7HRIka9Zi38QR3j,spotify:track:0lAzlYb7HRIka9Zi38QR3j,https://api.spotify.com/v1/tracks/0lAzlYb7HRIka9Zi38QR3j,https://api.spotify.com/v1/audio-analysis/0lAzlYb7HRIka9Zi38QR3j,128813,4
0.299,0.259,0,-17.679,1,0.0293,0.838,0.951,0.1,0.202,94.311,audio_features,2f2egGUYIOUjcFG3EDFg2F,spotify:track:2f2egGUYIOUjcFG3EDFg2F,https://api.spotify.com/v1/tracks/2f2egGUYIOUjcFG3EDFg2F,https://api.spotify.com/v1/audio-analysis/2f2egGUYIOUjcFG3EDFg2F,262000,4
