danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,0nrRP2bk19rLc0orkWPQk2,spotify:track:0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427,4
0.699,0.839,4,-5.353,0,0.0481,0.0483,0.655,0.0897,0.264,128.026,audio_features,0vZCG0H9KhtU7K8MEUVAoV,spotify:track:0vZCG0H9KhtU7K8MEUVAoV,https://api.spotify.com/v1/tracks/0vZCG0H9KhtU7K8MEUVAoV,https://api.spotify.com/v1/audio-analysis/0vZCG0H9KhtU7K8MEUVAoV,236706,4
0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,audio_features,02Fkge2GLk3Vn9kNfQkShG,spotify:track:02Fkge2GLk3Vn9kNfQkShG,https://api.spotify.com/v1/tracks/02Fkge2GLk3Vn9kNfQkShG,https://api.spotify.com/v1/audio-analysis/02Fkge2GLk3Vn9kNfQkShG,147840,4
0.798,0.43,8,-7.839,0,0.0868,0.0055,0.901,0.146,0.487,140.064,audio_features,6PUzxtIHkv346yP89NzP9X,spotify:track:6PUzxtIHkv346yP89NzP9X,https://api.spotify.com/v1/tracks/6PUzxtIHkv346yP89NzP9X,https://api.spotify.com/v1/audio-analysis/6PUzxtIHkv346yP89NzP9X,285173,4
0.615,0.888,1,-4.92,0,0.0612,0.0346,0.0005,0.0921,0.563,139.985,audio_features,1CLUWfqSXSvkjrE62Agg3e,spotify:track:1CLUWfqSXSvkjrE62Agg3e,https://api.spotify.com/v1/tracks/1CLUWfqSXSvkjrE62Agg3e,https://api.spotify.com/v1/audio-analysis/1CLUWfqSXSvkjrE62Agg3e,165268,4
0.801,0.985,7,-2.69,1,0.0647,0.0205,6.86e-06,0.297,0.72,127.99,audio_features,3wLPRjw2XQpmowqXUXb3UF,spotify:track:3wLPRjw2XQpmowqXUXb3UF,https://api.spotify.com/v1/tracks/3wLPRjw2XQpmowqXUXb3UF,https://api.spotify.com/v1/audio-analysis/3wLPRjw2XQpmowqXUXb3UF,166933,4
0.738,0.607,8,-3.933,0,0.0845,0.00746,0.324,0.0699,0.78,131.982,audio_features,5bs8OXiOt4BPF2FAnRFP1u,spotify:track:5bs8OXiOt4BPF2FAnRFP1u,https://api.spotify.com/v1/tracks/5bs8OXiOt4BPF2FAnRFP1u,https://api.spotify.com/v1/audio-analysis/5bs8OXiOt4BPF2FAnRFP1u,383893,4
0.696,0.775,6,-6.539,1,0.0388,0.00393,0.104,0.378,0.435,126.979,audio_features,41TkFhNYljV7omolLJ6Squ,spotify:track:41TkFhNYljV7omolLJ6Squ,https://api.spotify.com/v1/tracks/41TkFhNYljV7omolLJ6Squ,https://api.spotify.com/v1/audio-analysis/41TkFhNYljV7omolLJ6Squ,156850,4
0.528,0.797,9,-3.85,0,0.0388,0.0037,0.000214,0.0567,0.235,139.917,audio_features,1mj3t3VY7mm0APmibyG8LT,spotify:track:1mj3t3VY7mm0APmibyG8LT,https://api.spotify.com/v1/tracks/1mj3t3VY7mm0APmibyG8LT,https://api.spotify.com/v1/audio-analysis/1mj3t3VY7mm0APmibyG8LT,268947,4
0.591,0.873,4,-4.417,1,0.0859,0.378,6.73e-05,0.142,0.61,149.958,audio_features,7zyvQ8sb72g4RuwBpcuGUP,spotify:track:7zyvQ8sb72g4RuwBpcuGUP,https://api.spotify.com/v1/tracks/7zyvQ8sb72g4RuwBpcuGUP,https://api.spotify.com/v1/audio-analysis/7zyvQ8sb72g4RuwBpcuGUP,128031,4
0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,audio_features,5YJtMNWKe55yr49cyJgxva,spotify:track:5YJtMNWKe55yr49cyJgxva,https://api.spotify.com/v1/tracks/5YJtMNWKe55yr49cyJgxva,https://api.spotify.com/v1/audio-analysis/5YJtMNWKe55yr49cyJgxva,197124,4
0.515,0.837,11,-2.552,1,0.0401,0.0868,0.0,0.0403,0.52,126.026,audio_features,6J7ZSdEEYo3ns4gnHdwRL0,spotify:track:6J7ZSdEEYo3ns4gnHdwRL0,https://api.spotify.com/v1/tracks/6J7ZSdEEYo3ns4gnHdwRL0,https://api.spotify.com/v1/audio-analysis/6J7ZSdEEYo3ns4gnHdwRL0,203960,4
0.79,0.593,1,-9.204,0,0.0776,0.0983,0.00202,0.065,0.72,119.958,audio_features,2GYHyAoLWpkxLVa4oYTVko,spotify:track:2GYHyAoLWpkxLVa4oYTVko,https://api.spotify.com/v1/tracks/2GYHyAoLWpkxLVa4oYTVko,https://api.spotify.com/v1/audio-analysis/2GYHyAoLWpkxLVa4oYTVko,206067,4
0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,audio_features,5XVjNRubJUW0iPhhSWpLCj,spotify:track:5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/tracks/5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/audio-analysis/5XVjNRubJUW0iPhhSWpLCj,214883,4
