danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.348,0.751,0,-12.823,1,0.0494,0.0699,0.000738,0.208,0.886,156.509,audio_features,6uU5OBhGUE1ngSKDj4wtoq,spotify:track:6uU5OBhGUE1ngSKDj4wtoq,https://api.spotify.com/v1/tracks/6uU5OBhGUE1ngSKDj4wtoq,https://api.spotify.com/v1/audio-analysis/6uU5OBhGUE1ngSKDj4wtoq,172733,4
0.813,0.701,0,-6.508,0,0.0701,0.489,0.00116,0.294,0.855,104.019,audio_features,1BwrMGGhPA6GarWIYaFrW8,spotify:track:1BwrMGGhPA6GarWIYaFrW8,https://api.spotify.com/v1/tracks/1BwrMGGhPA6GarWIYaFrW8,https://api.spotify.com/v1/audio-analysis/1BwrMGGhPA6GarWIYaFrW8,278867,4
0.656,0.877,0,-3.231,0,0.0342,0.345,0.0,0.349,0.894,105.018,audio_features,3QHMxEOAGD51PDlbFPHLyJ,spotify:track:3QHMxEOAGD51PDlbFPHLyJ,https://api.spotify.com/v1/tracks/3QHMxEOAGD51PDlbFPHLyJ,https://api.spotify.com/v1/audio-analysis/3QHMxEOAGD51PDlbFPHLyJ,252347,4
0.537,0.748,2,-6.392,1,0.0282,0.000633,0.557,0.272,0.78,124.24,audio_features,2lpIh6Gr6HYjg1CFBaucS5,spotify:track:2lpIh6Gr6HYjg1CFBaucS5,https://api.spotify.com/v1/tracks/2lpIh6Gr6HYjg1CFBaucS5,https://api.spotify.com/v1/audio-analysis/2lpIh6Gr6HYjg1CFBaucS5,212747,4
0.658,0.738,7,-6.717,1,0.0315,0.747,0.00605,0.0624,0.963,123.261,audio_features,73uEbChpBB29ttwVnwuNVE,spotify:track:73uEbChpBB29ttwVnwuNVE,https://api.spotify.com/v1/tracks/73uEbChpBB29ttwVnwuNVE,https://api.spotify.com/v1/audio-analysis/73uEbChpBB29ttwVnwuNVE,274019,4
0.748,0.835,7,-5.731,1,0.0351,0.0854,1.97e-06,0.0365,0.896,142.942,audio_features,19ScoKGqnfUggyqOVQjsoH,spotify:track:19ScoKGqnfUggyqOVQjsoH,https://api.spotify.com/v1/tracks/19ScoKGqnfUggyqOVQjsoH,https://api.spotify.com/v1/audio-analysis/19ScoKGqnfUggyqOVQjsoH,212000,4
0.621,0.675,0,-5.941,1,0.0305,0.295,0.0,0.174,0.747,125.122,audio_features,0UoAcG1vxtFjes7rZz8Js0,spotify:track:0UoAcG1vxtFjes7rZz8Js0,https://api.spotify.com/v1/tracks/0UoAcG1vxtFjes7rZz8Js0,https://api.spotify.com/v1/audio-analysis/0UoAcG1vxtFjes7rZz8Js0,250920,4
0.337,0.55,9,-5.814,1,0.0502,0.386,0.0,0.298,0.851,183.117,audio_features,1I7QJJ5o76Z9D1rmA4bQPS,spotify:track:1I7QJJ5o76Z9D1rmA4bQPS,https://api.spotify.com/v1/tracks/1I7QJJ5o76Z9D1rmA4bQPS,https://api.spotify.com/v1/audio-analysis/1I7QJJ5o76Z9D1rmA4bQPS,128387,4
0.751,0.731,6,-4.419,0,0.0308,0.0838,0.0,0.0556,0.973,97.007,audio_features,2EM9zpAc7PVeoAydmbfVIL,spotify:track:2EM9zpAc7PVeoAydmbfVIL,https://api.spotify.com/v1/tracks/2EM9zpAc7PVeoAydmbfVIL,https://api.spotify.com/v1/audio-analysis/2EM9zpAc7PVeoAydmbfVIL,216707,4
0.718,0.809,1,-10.201,1,0.0511,0.0893,0.0,0.183,0.964,100.848,audio_features,4tXR895KKljrC2VptgyEhJ,spotify:track:4tXR895KKljrC2VptgyEhJ,https://api.spotify.com/v1/tracks/4tXR895KKljrC2VptgyEhJ,https://api.spotify.com/v1/audio-analysis/4tXR895KKljrC2VptgyEhJ,215493,4
0.78,0.877,6,-3.683,0,0.0427,0.148,2.36e-06,0.0627,0.909,133.263,audio_features,1uKjQoh8JZj9ryuYRhpd7E,spotify:track:1uKjQoh8JZj9ryuYRhpd7E,https://api.spotify.com/v1/tracks/1uKjQoh8JZj9ryuYRhpd7E,https://api.spotify.com/v1/audio-analysis/1uKjQoh8JZj9ryuYRhpd7E,191973,4
0.543,0.903,11,-6.658,0,0.039,0.0102,0.00585,0.0862,0.962,162.241,audio_features,5EJ2THuhAapEIeQOtXUQ0x,spotify:track:5EJ2THuhAapEIeQOtXUQ0x,https://api.spotify.com/v1/tracks/5EJ2THuhAapEIeQOtXUQ0x,https://api.spotify.com/v1/audio-analysis/5EJ2THuhAapEIeQOtXUQ0x,263306,4
0.756,0.8,5,-5.158,1,0.0329,0.211,0.000724,0.0466,0.967,118.924,audio_features,6xepovPqjvrkEw9Y5AMmTm,spotify:track:6xepovPqjvrkEw9Y5AMmTm,https://api.spotify.com/v1/tracks/6xepovPqjvrkEw9Y5AMmTm,https://api.spotify.com/v1/audio-analysis/6xepovPqjvrkEw9Y5AMmTm,207467,4
0.676,0.684,9,-6.442,1,0.0325,0.603,0.00244,0.216,0.861,87.132,audio_features,56A4ILMKhg47q89wLmO70B,spotify:track:56A4ILMKhg47q89wLmO70B,https://api.spotify.com/v1/tracks/56A4ILMKhg47q89wLmO70B,https://api.spotify.com/v1/audio-analysis/56A4ILMKhg47q89wLmO70B,205093,4
0.585,0.624,9,-8.966,0,0.0746,0.00418,0.0229,0.0765,0.728,180.503,audio_features,5nvS1vouQkX0HxOohfqCoS,spotify:track:5nvS1vouQkX0HxOohfqCoS,https://api.spotify.com/v1/tracks/5nvS1vouQkX0HxOohfqCoS,https://api.spotify.com/v1/audio-analysis/5nvS1vouQkX0HxOohfqCoS,338253,4
0.745,0.61,0,-6.725,1,0.0244,0.173,0.000626,0.147,0.476,95.033,audio_features,3l1ZanpJ3jFQZMqATizqfE,spotify:track:3l1ZanpJ3jFQZMqATizqfE,https://api.spotify.com/v1/tracks/3l1ZanpJ3jFQZMqATizqfE,https://api.spotify.com/v1/audio-analysis/3l1ZanpJ3jFQZMqATizqfE,286973,4
0.219,0.323,10,-12.211,1,0.0333,0.66,0.0,0.106,0.339,170.437,audio_features,7aSxNjoVoAwNL7HDAKwGtC,spotify:track:7aSxNjoVoAwNL7HDAKwGtC,https://api.spotify.com/v1/tracks/7aSxNjoVoAwNL7HDAKwGtC,https://api.spotify.com/v1/audio-analysis/7aSxNjoVoAwNL7HDAKwGtC,248000,4
0.669,0.888,3,-4.104,0,0.145,0.017,0.0,0.0608,0.751,125.049,audio_features,5QaXLlwc1PaPpMDgQoTT4h,spotify:track:5QaXLlwc1PaPpMDgQoTT4h,https://api.spotify.com/v1/tracks/5QaXLlwc1PaPpMDgQoTT4h,https://api.spotify.com/v1/audio-analysis/5QaXLlwc1PaPpMDgQoTT4h,205093,4
0.671,0.954,9,-1.87,1,0.13,0.0244,0.0,0.111,0.556,104.114,audio_features,23WI5V2eD4EyGKxSl7Pyeq,spotify:track:23WI5V2eD4EyGKxSl7Pyeq,https://api.spotify.com/v1/tracks/23WI5V2eD4EyGKxSl7Pyeq,https://api.spotify.com/v1/audio-analysis/23WI5V2eD4EyGKxSl7Pyeq,247493,4
