danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,audio_features,7k6IzwMGpxnRghE7YosnXT,spotify:track:7k6IzwMGpxnRghE7YosnXT,https://api.spotify.com/v1/tracks/7k6IzwMGpxnRghE7YosnXT,https://api.spotify.com/v1/audio-analysis/7k6IzwMGpxnRghE7YosnXT,192213,4
0.658,0.771,4,-4.318,1,0.271,0.016,0.0,0.654,0.516,85.949,audio_features,3oairMMtNVnUppKwroxou4,spotify:track:3oairMMtNVnUppKwroxou4,https://api.spotify.com/v1/tracks/3oairMMtNVnUppKwroxou4,https://api.spotify.com/v1/audio-analysis/3oairMMtNVnUppKwroxou4,324307,4
0.826,0.67,2,-5.559,1,0.169,0.00798,0.0,0.495,0.794,74.007,audio_features,6MBEjJlXQYXr8dfxDvZuoA,spotify:track:6MBEjJlXQYXr8dfxDvZuoA,https://api.spotify.com/v1/tracks/6MBEjJlXQYXr8dfxDvZuoA,https://api.spotify.com/v1/audio-analysis/6MBEjJlXQYXr8dfxDvZuoA,226293,4
0.939,0.498,5,-10.94,0,0.161,0.0444,0.00128,0.0475,0.801,113.053,audio_features,72vWmeqYcT1irKClpbenQm,spotify:track:72vWmeqYcT1irKClpbenQm,https://api.spotify.com/v1/tracks/72vWmeqYcT1irKClpbenQm,https://api.spotify.com/v1/audio-analysis/72vWmeqYcT1irKClpbenQm,202213,4
0.869,0.724,11,-6.301,0,0.0427,0.0221,0.000699,0.0572,0.896,121.057,audio_features,5hWqzvli5G9puxbZSAfi7y,spotify:track:5hWqzvli5G9puxbZSAfi7y,https://api.spotify.com/v1/tracks/5hWqzvli5G9puxbZSAfi7y,https://api.spotify.com/v1/audio-analysis/5hWqzvli5G9puxbZSAfi7y,232000,4
0.912,0.511,9,-6.365,1,0.203,0.0259,0.0,0.0442,0.611,101.628,audio_features,6uRH1qMz30ZBwwUG0IYE5s,spotify:track:6uRH1qMz30ZBwwUG0IYE5s,https://api.spotify.com/v1/tracks/6uRH1qMz30ZBwwUG0IYE5s,https://api.spotify.com/v1/audio-analysis/6uRH1qMz30ZBwwUG0IYE5s,231800,4
0.957,0.554,3,-6.618,0,0.0669,0.00529,0.00179,0.249,0.642,101.784,audio_features,4u8IPU322yG7mNrqv89GGL,spotify:track:4u8IPU322yG7mNrqv89GGL,https://api.spotify.com/v1/tracks/4u8IPU322yG7mNrqv89GGL,https://api.spotify.com/v1/audio-analysis/4u8IPU322yG7mNrqv89GGL,199893,4
0.753,0.934,2,-3.011,1,0.0736,0.0174,0.065,0.128,0.73,113.525,audio_features,5X8kkUaUlAyAUr9TYqDFTH,spotify:track:5X8kkUaUlAyAUr9TYqDFTH,https://api.spotify.com/v1/tracks/5X8kkUaUlAyAUr9TYqDFTH,https://api.spotify.com/v1/audio-analysis/5X8kkUaUlAyAUr9TYqDFTH,329933,3
0.84,0.835,1,-4.386,0,0.275,0.00281,1.11e-06,0.152,0.637,103.376,audio_features,41nT1Sp6ChR65FbsdLlFHW,spotify:track:41nT1Sp6ChR65FbsdLlFHW,https://api.spotify.com/v1/tracks/41nT1Sp6ChR65FbsdLlFHW,https://api.spotify.com/v1/audio-analysis/41nT1Sp6ChR65FbsdLlFHW,207907,4
0.85,0.7,7,-6.49,1,0.0478,0.0607,1.66e-06,0.244,0.724,101.875,audio_features,3Gf5nttwcX9aaSQXRWidEZ,spotify:track:3Gf5nttwcX9aaSQXRWidEZ,https://api.spotify.com/v1/tracks/3Gf5nttwcX9aaSQXRWidEZ,https://api.spotify.com/v1/audio-analysis/3Gf5nttwcX9aaSQXRWidEZ,291782,4
0.911,0.551,8,-3.75,0,0.045,0.133,4.35e-05,0.0863,0.969,92.887,audio_features,3aw9iWUQ3VrPQltgwvN9Xu,spotify:track:3aw9iWUQ3VrPQltgwvN9Xu,https://api.spotify.com/v1/tracks/3aw9iWUQ3VrPQltgwvN9Xu,https://api.spotify.com/v1/audio-analysis/3aw9iWUQ3VrPQltgwvN9Xu,265867,4
0.893,0.74,11,-4.936,0,0.132,0.299,0.0,0.0881,0.963,101.025,audio_features,4675yUu8AUbE72T94BkLCD,spotify:track:4675yUu8AUbE72T94BkLCD,https://api.spotify.com/v1/tracks/4675yUu8AUbE72T94BkLCD,https://api.spotify.com/v1/audio-analysis/4675yUu8AUbE72T94BkLCD,299147,4
0.842,0.461,0,-8.131,1,0.0648,0.0274,0.0,0.0881,0.745,139.957,audio_features,61sRkEACcXECFXGjbEzm4V,spotify:track:61sRkEACcXECFXGjbEzm4V,https://api.spotify.com/v1/tracks/61sRkEACcXECFXGjbEzm4V,https://api.spotify.com/v1/audio-analysis/61sRkEACcXECFXGjbEzm4V,201400,4
0.841,0.63,1,-5.356,1,0.0443,0.0725,0.0,0.0742,0.876,97.964,audio_features,0aj2QKJvz6CePykmlTApiD,spotify:track:0aj2QKJvz6CePykmlTApiD,https://api.spotify.com/v1/tracks/0aj2QKJvz6CePykmlTApiD,https://api.spotify.com/v1/audio-analysis/0aj2QKJvz6CePykmlTApiD,294867,4
0.975,0.711,8,-3.904,1,0.0632,0.168,0.000552,0.0799,0.815,110.621,audio_features,0wbDgMuAoy7O7pL3a69uZx,spotify:track:0wbDgMuAoy7O7pL3a69uZx,https://api.spotify.com/v1/tracks/0wbDgMuAoy7O7pL3a69uZx,https://api.spotify.com/v1/audio-analysis/0wbDgMuAoy7O7pL3a69uZx,234027,4
0.786,0.524,7,-7.54,1,0.239,0.127,1.68e-06,0.081,0.363,101.06,audio_features,6ZOcZ1ZDpTWVAw3ywfYCxI,spotify:track:6ZOcZ1ZDpTWVAw3ywfYCxI,https://api.spotify.com/v1/tracks/6ZOcZ1ZDpTWVAw3ywfYCxI,https://api.spotify.com/v1/audio-analysis/6ZOcZ1ZDpTWVAw3ywfYCxI,235360,4
0.66,0.536,10,-8.786,0,0.29,0.233,0.00669,0.111,0.775,159.963,audio_features,5Y0E3dOeynKuLDAXu0t0Bg,spotify:track:5Y0E3dOeynKuLDAXu0t0Bg,https://api.spotify.com/v1/tracks/5Y0E3dOeynKuLDAXu0t0Bg,https://api.spotify.com/v1/audio-analysis/5Y0E3dOeynKuLDAXu0t0Bg,237800,4
0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,audio_features,0k2GOhqsrxDTAbFFSdNJjT,spotify:track:0k2GOhqsrxDTAbFFSdNJjT,https://api.spotify.com/v1/tracks/0k2GOhqsrxDTAbFFSdNJjT,https://api.spotify.com/v1/audio-analysis/0k2GOhqsrxDTAbFFSdNJjT,218573,4
0.786,0.842,4,-5.115,0,0.0707,0.00305,3.54e-06,0.473,0.685,97.577,audio_features,1fgvJXlcZ7uIddMpqsqw0L,spotify:track:1fgvJXlcZ7uIddMpqsqw0L,https://api.spotify.com/v1/tracks/1fgvJXlcZ7uIddMpqsqw0L,https://api.spotify.com/v1/audio-analysis/1fgvJXlcZ7uIddMpqsqw0L,221227,4
0.838,0.705,5,-6.131,0,0.29,0.195,0.0,0.336,0.837,96.644,audio_features,2hNf1rawV2XAZ6Jld2Fxwf,spotify:track:2hNf1rawV2XAZ6Jld2Fxwf,https://api.spotify.com/v1/tracks/2hNf1rawV2XAZ6Jld2Fxwf,https://api.spotify.com/v1/audio-analysis/2hNf1rawV2XAZ6Jld2Fxwf,245093,4
0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,audio_features,5z7mYFfhw6N6f23VwrokJD,spotify:track:5z7mYFfhw6N6f23VwrokJD,https://api.spotify.com/v1/tracks/5z7mYFfhw6N6f23VwrokJD,https://api.spotify.com/v1/audio-analysis/5z7mYFfhw6N6f23VwrokJD,234000,4
0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,audio_features,0O45fw2L5vsWpdsOdXwNAR,spotify:track:0O45fw2L5vsWpdsOdXwNAR,https://api.spotify.com/v1/tracks/0O45fw2L5vsWpdsOdXwNAR,https://api.spotify.com/v1/audio-analysis/0O45fw2L5vsWpdsOdXwNAR,242733,4
