danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.776,0.561,6,-8.375,0,0.103,0.111,0.0,0.067,0.743,122.246,audio_features,6JRLFiX9NJSoRRKxowlBYr,spotify:track:6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/tracks/6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/audio-analysis/6JRLFiX9NJSoRRKxowlBYr,232200,4
0.785,0.561,10,-7.783,0,0.0523,0.00527,8.78e-05,0.0456,0.614,129.027,audio_features,2pZJhvpin385eqAFRp3ASJ,spotify:track:2pZJhvpin385eqAFRp3ASJ,https://api.spotify.com/v1/tracks/2pZJhvpin385eqAFRp3ASJ,https://api.spotify.com/v1/audio-analysis/2pZJhvpin385eqAFRp3ASJ,298507,4
0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.761,103.314,audio_features,5O4erNlJ74PIF6kGol1ZrC,spotify:track:5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/tracks/5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/audio-analysis/5O4erNlJ74PIF6kGol1ZrC,237000,4
0.929,0.463,9,-8.651,1,0.308,0.143,5.3e-06,0.0634,0.755,124.084,audio_features,7BfW1eoDh27W69nxsmRicb,spotify:track:7BfW1eoDh27W69nxsmRicb,https://api.spotify.com/v1/tracks/7BfW1eoDh27W69nxsmRicb,https://api.spotify.com/v1/audio-analysis/7BfW1eoDh27W69nxsmRicb,255840,4
0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.128,audio_features,7yFvSYKk3g5g8e7Ffl16ws,spotify:track:7yFvSYKk3g5g8e7Ffl16ws,https://api.spotify.com/v1/tracks/7yFvSYKk3g5g8e7Ffl16ws,https://api.spotify.com/v1/audio-analysis/7yFvSYKk3g5g8e7Ffl16ws,180267,4
0.782,0.618,8,-7.222,1,0.186,0.31,0.000775,0.0894,0.96,79.047,audio_features,5nendZOQVR20b65UiY3eJp,spotify:track:5nendZOQVR20b65UiY3eJp,https://api.spotify.com/v1/tracks/5nendZOQVR20b65UiY3eJp,https://api.spotify.com/v1/audio-analysis/5nendZOQVR20b65UiY3eJp,356600,4
0.76,0.462,9,-11.003,1,0.103,0.621,0.32,0.0758,0.905,146.655,audio_features,3sqZDdEO5viqNqMCNem5m5,spotify:track:3sqZDdEO5viqNqMCNem5m5,https://api.spotify.com/v1/tracks/3sqZDdEO5viqNqMCNem5m5,https://api.spotify.com/v1/audio-analysis/3sqZDdEO5viqNqMCNem5m5,332400,4
0.94,0.536,11,-8.905,0,0.125,0.015,2.1e-05,0.0438,0.883,123.274,audio_features,6XRVx8N99dG7ORZFRVNCB1,spotify:track:6XRVx8N99dG7ORZFRVNCB1,https://api.spotify.com/v1/tracks/6XRVx8N99dG7ORZFRVNCB1,https://api.spotify.com/v1/audio-analysis/6XRVx8N99dG7ORZFRVNCB1,200893,4
0.671,0.255,7,-10.743,1,0.0387,0.608,0.0,0.0737,0.694,115.873,audio_features,26PwuMotZqcczKLHi4Htz3,spotify:track:26PwuMotZqcczKLHi4Htz3,https://api.spotify.com/v1/tracks/26PwuMotZqcczKLHi4Htz3,https://api.spotify.com/v1/audio-analysis/26PwuMotZqcczKLHi4Htz3,233560,4
0.655,0.675,1,-9.352,1,0.086,0.272,0.0234,0.727,0.57,77.588,audio_features,423hwXFgoN8RYmqLoLuVvY,spotify:track:423hwXFgoN8RYmqLoLuVvY,https://api.spotify.com/v1/tracks/423hwXFgoN8RYmqLoLuVvY,https://api.spotify.com/v1/audio-analysis/423hwXFgoN8RYmqLoLuVvY,427800,4
0.671,0.513,5,-9.598,0,0.366,0.0682,0.0,0.0674,0.94,154.187,audio_features,7oNgPClUYdscWWHa5PF1gT,spotify:track:7oNgPClUYdscWWHa5PF1gT,https://api.spotify.com/v1/tracks/7oNgPClUYdscWWHa5PF1gT,https://api.spotify.com/v1/audio-analysis/7oNgPClUYdscWWHa5PF1gT,172933,4
0.853,0.697,0,-7.41,1,0.0373,0.282,4.42e-05,0.121,0.96,109.419,audio_features,1OE5bn5HUmCqTLNpo13ya3,spotify:track:1OE5bn5HUmCqTLNpo13ya3,https://api.spotify.com/v1/tracks/1OE5bn5HUmCqTLNpo13ya3,https://api.spotify.com/v1/audio-analysis/1OE5bn5HUmCqTLNpo13ya3,321600,4
0.785,0.784,7,-4.951,1,0.0609,0.453,0.0484,0.0791,0.81,91.048,audio_features,7c6aYqL0jU6CLcb5TNBb3p,spotify:track:7c6aYqL0jU6CLcb5TNBb3p,https://api.spotify.com/v1/tracks/7c6aYqL0jU6CLcb5TNBb3p,https://api.spotify.com/v1/audio-analysis/7c6aYqL0jU6CLcb5TNBb3p,320280,4
0.957,0.217,8,-14.626,1,0.0595,0.116,0.0408,0.0795,0.771,102.073,audio_features,3yDxEMaxtUATqs22VgqzTu,spotify:track:3yDxEMaxtUATqs22VgqzTu,https://api.spotify.com/v1/tracks/3yDxEMaxtUATqs22VgqzTu,https://api.spotify.com/v1/audio-analysis/3yDxEMaxtUATqs22VgqzTu,231733,4
0.754,0.73,5,-8.412,1,0.0756,0.111,2.91e-05,0.0985,0.869,173.638,audio_features,3UNa2iZNHZ8cDvzXSNVrUZ,spotify:track:3UNa2iZNHZ8cDvzXSNVrUZ,https://api.spotify.com/v1/tracks/3UNa2iZNHZ8cDvzXSNVrUZ,https://api.spotify.com/v1/audio-analysis/3UNa2iZNHZ8cDvzXSNVrUZ,189733,4
0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,audio_features,4uOKFydzAejjSFqYbv1XPt,spotify:track:4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/tracks/4uOKFydzAejjSFqYbv1XPt,https://api.spotify.com/v1/audio-analysis/4uOKFydzAejjSFqYbv1XPt,183733,4
0.772,0.501,10,-9.56,1,0.421,0.163,0.0,0.0725,0.771,77.882,audio_features,4hLATN2VtjiJ6jLm6V47x1,spotify:track:4hLATN2VtjiJ6jLm6V47x1,https://api.spotify.com/v1/tracks/4hLATN2VtjiJ6jLm6V47x1,https://api.spotify.com/v1/audio-analysis/4hLATN2VtjiJ6jLm6V47x1,197840,4
0.801,0.641,8,-9.355,1,0.173,0.34,4.5e-05,0.0693,0.741,96.96,audio_features,5uBKhKWTJ4E47rcLQqu3YH,spotify:track:5uBKhKWTJ4E47rcLQqu3YH,https://api.spotify.com/v1/tracks/5uBKhKWTJ4E47rcLQqu3YH,https://api.spotify.com/v1/audio-analysis/5uBKhKWTJ4E47rcLQqu3YH,279720,4
0.83,0.669,10,-7.536,0,0.214,0.0511,0.0,0.163,0.92,74.003,audio_features,5dvG16Ma80h9FZ1sQq5Sb1,spotify:track:5dvG16Ma80h9FZ1sQq5Sb1,https://api.spotify.com/v1/tracks/5dvG16Ma80h9FZ1sQq5Sb1,https://api.spotify.com/v1/audio-analysis/5dvG16Ma80h9FZ1sQq5Sb1,310733,4
0.751,0.473,6,-10.641,0,0.242,0.0498,0.00133,0.0896,0.424,164.889,audio_features,4czopM9AcLjrH4IunzRoBg,spotify:track:4czopM9AcLjrH4IunzRoBg,https://api.spotify.com/v1/tracks/4czopM9AcLjrH4IunzRoBg,https://api.spotify.com/v1/audio-analysis/4czopM9AcLjrH4IunzRoBg,387307,4
0.762,0.569,4,-7.863,0,0.0544,0.0143,1.45e-05,0.0793,0.789,136.462,audio_features,3UPPGZeSjNwxyJslnSTm1c,spotify:track:3UPPGZeSjNwxyJslnSTm1c,https://api.spotify.com/v1/tracks/3UPPGZeSjNwxyJslnSTm1c,https://api.spotify.com/v1/audio-analysis/3UPPGZeSjNwxyJslnSTm1c,247973,4
