danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.605,0.986,11,-4.268,0,0.0447,0.00254,0.885,0.106,0.157,139.006,audio_features,5GprKgWvoGYGq7nXnjCt0O,spotify:track:5GprKgWvoGYGq7nXnjCt0O,https://api.spotify.com/v1/tracks/5GprKgWvoGYGq7nXnjCt0O,https://api.spotify.com/v1/audio-analysis/5GprKgWvoGYGq7nXnjCt0O,200288,4
0.633,0.987,5,-3.258,1,0.0659,0.0279,0.811,0.374,0.612,137.015,audio_features,78dLyf8klcyrmgpwgmRQlE,spotify:track:78dLyf8klcyrmgpwgmRQlE,https://api.spotify.com/v1/tracks/78dLyf8klcyrmgpwgmRQlE,https://api.spotify.com/v1/audio-analysis/78dLyf8klcyrmgpwgmRQlE,222044,4
0.64,0.999,2,-4.433,1,0.121,0.00128,0.669,0.103,0.165,140.0,audio_features,4YcZ2Xlu7xMKaBOjfpxSrQ,spotify:track:4YcZ2Xlu7xMKaBOjfpxSrQ,https://api.spotify.com/v1/tracks/4YcZ2Xlu7xMKaBOjfpxSrQ,https://api.spotify.com/v1/audio-analysis/4YcZ2Xlu7xMKaBOjfpxSrQ,230000,4
0.757,0.815,5,-6.793,1,0.048,0.00797,0.765,0.102,0.611,144.957,audio_features,4V8VKDe62ZdGZAn551JdTz,spotify:track:4V8VKDe62ZdGZAn551JdTz,https://api.spotify.com/v1/tracks/4V8VKDe62ZdGZAn551JdTz,https://api.spotify.com/v1/audio-analysis/4V8VKDe62ZdGZAn551JdTz,294867,4
0.626,0.844,5,-2.905,0,0.0528,4.45e-05,0.358,0.114,0.28,159.959,audio_features,6PrPWf02VxGUd2jJLs9z1M,spotify:track:6PrPWf02VxGUd2jJLs9z1M,https://api.spotify.com/v1/tracks/6PrPWf02VxGUd2jJLs9z1M,https://api.spotify.com/v1/audio-analysis/6PrPWf02VxGUd2jJLs9z1M,218883,4
0.654,0.867,2,-6.946,1,0.0429,0.0315,0.288,0.135,0.287,139.99,audio_features,6KmjD9CaophLMXTCzKoLLZ,spotify:track:6KmjD9CaophLMXTCzKoLLZ,https://api.spotify.com/v1/tracks/6KmjD9CaophLMXTCzKoLLZ,https://api.spotify.com/v1/audio-analysis/6KmjD9CaophLMXTCzKoLLZ,234998,4
0.554,0.999,0,-2.621,0,0.113,0.000973,0.407,0.329,0.106,134.996,audio_features,5ihSjM9QHRuhLf1SAMCydv,spotify:track:5ihSjM9QHRuhLf1SAMCydv,https://api.spotify.com/v1/tracks/5ihSjM9QHRuhLf1SAMCydv,https://api.spotify.com/v1/audio-analysis/5ihSjM9QHRuhLf1SAMCydv,210222,4
0.745,0.94,11,-5.018,0,0.0476,0.00847,0.838,0.0685,0.221,138.007,audio_features,5bxebyE7bBCb6D4ICh9nNe,spotify:track:5bxebyE7bBCb6D4ICh9nNe,https://api.spotify.com/v1/tracks/5bxebyE7bBCb6D4ICh9nNe,https://api.spotify.com/v1/audio-analysis/5bxebyE7bBCb6D4ICh9nNe,181394,4
0.655,0.997,6,-2.618,1,0.0675,0.000688,0.66,0.105,0.218,136.982,audio_features,7n0GhbTRJuENvGcfvgQdS4,spotify:track:7n0GhbTRJuENvGcfvgQdS4,https://api.spotify.com/v1/tracks/7n0GhbTRJuENvGcfvgQdS4,https://api.spotify.com/v1/audio-analysis/7n0GhbTRJuENvGcfvgQdS4,217226,4
0.643,0.974,2,-6.227,1,0.0472,0.000194,0.826,0.373,0.782,138.011,audio_features,0CHbq6alKqfZnD7r2uNJGm,spotify:track:0CHbq6alKqfZnD7r2uNJGm,https://api.spotify.com/v1/tracks/0CHbq6alKqfZnD7r2uNJGm,https://api.spotify.com/v1/audio-analysis/0CHbq6alKqfZnD7r2uNJGm,372183,4
0.529,0.963,7,-5.45,1,0.0769,0.0438,0.601,0.11,0.169,140.131,audio_features,1DdByft8QSr5sf8ZhdxcXE,spotify:track:1DdByft8QSr5sf8ZhdxcXE,https://api.spotify.com/v1/tracks/1DdByft8QSr5sf8ZhdxcXE,https://api.spotify.com/v1/audio-analysis/1DdByft8QSr5sf8ZhdxcXE,204000,4
0.762,0.991,10,-5.642,1,0.0635,0.00327,0.822,0.0908,0.317,137.982,audio_features,43smiSsmoONd2gAXBqJKVj,spotify:track:43smiSsmoONd2gAXBqJKVj,https://api.spotify.com/v1/tracks/43smiSsmoONd2gAXBqJKVj,https://api.spotify.com/v1/audio-analysis/43smiSsmoONd2gAXBqJKVj,351993,4
0.642,0.982,7,-6.359,1,0.054,0.0107,0.832,0.323,0.305,133.009,audio_features,4EMEqHr2OoobVApJlz4sV2,spotify:track:4EMEqHr2OoobVApJlz4sV2,https://api.spotify.com/v1/tracks/4EMEqHr2OoobVApJlz4sV2,https://api.spotify.com/v1/audio-analysis/4EMEqHr2OoobVApJlz4sV2,377370,4
0.655,0.856,6,-4.614,0,0.0493,0.0572,0.831,0.105,0.342,136.981,audio_features,7eHwRfpOMuDaNSDXJjzL04,spotify:track:7eHwRfpOMuDaNSDXJjzL04,https://api.spotify.com/v1/tracks/7eHwRfpOMuDaNSDXJjzL04,https://api.spotify.com/v1/audio-analysis/7eHwRfpOMuDaNSDXJjzL04,240000,4
0.581,0.991,7,-5.433,1,0.0648,0.000943,0.81,0.313,0.203,137.973,audio_features,7C6DCd0L6BE74d4wnXDwBj,spotify:track:7C6DCd0L6BE74d4wnXDwBj,https://api.spotify.com/v1/tracks/7C6DCd0L6BE74d4wnXDwBj,https://api.spotify.com/v1/audio-analysis/7C6DCd0L6BE74d4wnXDwBj,295694,4
0.596,0.991,6,-6.201,1,0.0576,0.00695,0.774,0.298,0.374,139.99,audio_features,5Tvlqx7h4uLLRkr5EILrnt,spotify:track:5Tvlqx7h4uLLRkr5EILrnt,https://api.spotify.com/v1/tracks/5Tvlqx7h4uLLRkr5EILrnt,https://api.spotify.com/v1/audio-analysis/5Tvlqx7h4uLLRkr5EILrnt,211006,4
0.674,0.976,6,-1.998,0,0.19,0.00278,0.727,0.0847,0.469,137.99,audio_features,7LG6YgPx2DhEDo7KSn1265,spotify:track:7LG6YgPx2DhEDo7KSn1265,https://api.spotify.com/v1/tracks/7LG6YgPx2DhEDo7KSn1265,https://api.spotify.com/v1/audio-analysis/7LG6YgPx2DhEDo7KSn1265,200000,4
0.712,0.988,5,-3.979,0,0.0989,0.103,0.675,0.161,0.258,138.019,audio_features,1EJIHSPyJxrIeI5tmv7Aap,spotify:track:1EJIHSPyJxrIeI5tmv7Aap,https://api.spotify.com/v1/tracks/1EJIHSPyJxrIeI5tmv7Aap,https://api.spotify.com/v1/audio-analysis/1EJIHSPyJxrIeI5tmv7Aap,340870,4
0.723,0.996,1,-2.98,1,0.0682,0.00175,0.855,0.0938,0.474,138.03,audio_features,4rVmpjKfDSahUHEp97K34S,spotify:track:4rVmpjKfDSahUHEp97K34S,https://api.spotify.com/v1/tracks/4rVmpjKfDSahUHEp97K34S,https://api.spotify.com/v1/audio-analysis/4rVmpjKfDSahUHEp97K34S,197391,4
0.597,0.989,0,-3.643,1,0.0473,0.00307,0.8,0.195,0.434,134.005,audio_features,1KMru1wRFP6Qhi2jjjQfSb,spotify:track:1KMru1wRFP6Qhi2jjjQfSb,https://api.spotify.com/v1/tracks/1KMru1wRFP6Qhi2jjjQfSb,https://api.spotify.com/v1/audio-analysis/1KMru1wRFP6Qhi2jjjQfSb,195224,4
0.663,0.947,8,-6.205,1,0.0788,0.0117,0.845,0.101,0.339,136.021,audio_features,4NN7PBVKclppjgszynZ9K1,spotify:track:4NN7PBVKclppjgszynZ9K1,https://api.spotify.com/v1/tracks/4NN7PBVKclppjgszynZ9K1,https://api.spotify.com/v1/audio-analysis/4NN7PBVKclppjgszynZ9K1,236029,4
0.536,0.984,1,-6.283,0,0.0498,0.00557,0.569,0.36,0.598,136.998,audio_features,4fCKaRN1A00Dnpo6iJHFu9,spotify:track:4fCKaRN1A00Dnpo6iJHFu9,https://api.spotify.com/v1/tracks/4fCKaRN1A00Dnpo6iJHFu9,https://api.spotify.com/v1/audio-analysis/4fCKaRN1A00Dnpo6iJHFu9,254913,4
